,,,,,,,,,,,,,,,,,,,,,,
MONTHLY BELL TESTING,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
25,"1205 Rudlin Street
Name: Rudlin Apartments
Management: Starlight Properties c/o Devon Properties Ltd.",January,R1,DR 5021,"PANEL: Pac Pro
LOCATION: Parking Level Electrical Room","NONE
",Go through parking lot door by stall number 6,"When testing with AC Off, press silence switch that is located outside electrical room to stop buzzing.",1:06,1:12,,,,,,,,,,,,
26,"2136 Ridge Road
Name: 
Management: Brown Brothers Property Mgmt.",October,R1,RG 6312,"PANEL: Pac-Pro 906D 
LOCATION: FACP inside electrical room by mail boxes ","NONE
",,,1:19,1:25,,,,,,,,,,,,
27,"1150 Queens Avenue
Name: 1150 Queens
Management: Pacific Quorum",January,R1,406,"PANEL: Pac-Pro (Self-Restore) 
LOCATION: Main Floor Electrical Rm ","NONE
",,Bathroom inside main floor laundry room,1:31,1:37,,,,,,,,,,,,
28,"908 Market Street
Name: 
Management: Starlight Properties c/o Devon Properties",July,R1,MS 809,"PANEL: PAC PRO
LOCATION: Main Lobby Electrical by Elevator","NONE
",,"
Site Contact: Kenton Preston Property Manager
236 638 2104

",1:59,2:04,,,,,,,,,,,,
29,"1111 Hillside Avenue
Name: Hillside Arms
Management: Complete Residential",July,R1,OP 1111,"PANEL: PAC PRO
LOCATION: 1st floor electrical room.","NONE
",,"

",2:10,2:15,,,,,,,,,,,,
30,"2680 Prior Street
Name: Prior Place
Management: Century 21 Queenswood",June,R1,168,"PANEL: Battery ONLY System
LOCATION:  in Laundry Room, use key from lockbox  #1037","NONE
",,"
Key Only - Lockbox #1037
 
CALL 778-679-9309 (Jim) - if there are any issues
AUG/25(VCS) - keys worked to access area with paperwork/battery system. 
",ANNUAL BOOKED MAY ,ANNUAL BOOKED MAY ,,,,,,,,,,,,
31,"1317 Hillside Avenue
Name: 1317 Hillside Avenue
Management: Vince Collard",March,R1,H 7131,"PANEL:  PAC PRO P24A
LOCATION:  Main floor electrical room.","NONE
",,Door Code for Electrical Room: 9111,2:21,2:27,,,,,,,,,,,,
32,"1006 Tolmie
Name: Tolmie Apartments
Management: Century 21 Queenswood",January,R1,163,"PANEL:  Pac-Pro (Self Restore)
LOCATION: down stairs from back parking lot in main hydro room. ","NONE
",,Replaced metal hammer on 2nd floor - May 2026,2:35,2:46,,,,,,,,,,,,
33,"524 Culduthel Road
Name: 
Management: Devon Properties",June,R1,C 425,"PANEL: Pac-Pro
LOCATION: Main Hydro room
Through east gate - 524D Parkade Entrance OR through reception rear exit of Sherwin-Williams paint","NONE
","Sherwin-Williams paint - go through reception rear exit and go left, will see a door faded labelling ""BC MAIN HYDRO"" with a padlock. Go through door and down hallway to the left is where the panel is located. CAREFUL, Sherwin-Williams paint door will lock behind so jam open with something.

Breaker panel LB: FAP breaker located in hallway immediately once you go through reception exit to the right. ",May/24 (VCS) - please attach annual paperwork for June so I can see where each pull station is.,2:56,3:03,,,,,,,,,,,,
34,"3177 Harriet Road
Name:The Riviera
Management:Associa British Columbia Inc.",-,R1,HT 7713,"PANEL: Pac-Pro P24A
LOCATION: Electrical Room","NONE
",,"electrical room located in hallway through lock door by elevator machine room, site keys will open it. ",3:06,3:18,,,,,,,,,,,,
ROUTE LOCKED,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
